chunk_id,doc_id,title,department,access_level,text,created_at,updated_at
DOC0006_C02,DOC0006,Отпуска и управление отсутствием сотрудников,HR,internal,Оформление отпуска осуществляется через HR-систему с указанием периода отсутствия. Заявка считается подтверждённой только после согласования руководителем. Самовольное отсутствие без утверждённой заявки рассматривается как нарушение трудовой дисциплины.,,
DOC0006_C03,DOC0006,Отпуска и управление отсутствием сотрудников,HR,internal,"Перед уходом в отпуск сотрудник обязан передать текущие задачи, задокументировать статус проектов и назначить ответственного на период отсутствия. В системе управления задачами фиксируется информация о временном заместителе.",,
DOC0006_C04,DOC0006,Отпуска и управление отсутствием сотрудников,HR,internal,В случае временной нетрудоспособности сотрудник обязан уведомить руководителя в день отсутствия и предоставить подтверждающие документы после закрытия больничного. Порядок компенсации и отражения отсутствия определяется действующими правилами компании.,,
DOC0006_C05,DOC0006,Отпуска и управление отсутствием сотрудников,HR,internal,Изменение дат отпуска допускается только по согласованию с руководителем и HR. В пиковые периоды возможны ограничения на одновременное отсутствие нескольких ключевых сотрудников одного подразделения.,,
DOC0007_C01,DOC0007,Релизный процесс и управление изменениями,IT,internal,"Все изменения в продуктивной среде проходят формализованный релизный процесс, направленный на минимизацию рисков для клиентов и внутренней инфраструктуры. Перед публикацией новой версии формируется описание изменений, перечень затронутых компонентов и план тестирования. Ответственный за релиз назначается заранее и координирует взаимодействие между разработкой, тестированием и эксплуатацией.",,
DOC0007_C02,DOC0007,Релизный процесс и управление изменениями,IT,internal,"Перед выпуском релиза изменения проходят обязательное тестирование в тестовой среде. Проверяются функциональность, производительность, совместимость и отсутствие критических дефектов. Результаты тестирования фиксируются в системе управления задачами.",,
DOC0007_C03,DOC0007,Релизный процесс и управление изменениями,IT,internal,Релизы планируются в утверждённые временные окна. В случае необходимости внепланового релиза требуется отдельное согласование с руководством и уведомление заинтересованных подразделений. Все участники должны быть заранее проинформированы о времени и потенциальном влиянии изменений.,,
DOC0007_C04,DOC0007,Релизный процесс и управление изменениями,IT,internal,В процессе внедрения изменений ведётся мониторинг ключевых метрик системы. При обнаружении критических ошибок активируется план отката к предыдущей стабильной версии. План отката должен быть подготовлен до начала релиза.,,
DOC0007_C05,DOC0007,Релизный процесс и управление изменениями,IT,internal,"После завершения релиза проводится анализ результатов, включая оценку влияния на производительность и стабильность системы. В случае выявления проблем формируется отчёт с рекомендациями по улучшению процесса управления изменениями.",,
DOC0008_C01,DOC0008,Обработка обращений клиентов и соблюдение SLA,SUPPORT,internal,"Все обращения клиентов принимаются через официальные каналы поддержки: систему тикетов, корпоративную почту или выделенную линию. Каждому обращению автоматически присваивается уникальный номер, по которому отслеживается статус решения. Сотрудник поддержки обязан зафиксировать описание проблемы, приоритет и контактные данные клиента.",,
DOC0008_C02,DOC0008,Обработка обращений клиентов и соблюдение SLA,SUPPORT,internal,"Приоритет обращения определяется на основании влияния на бизнес клиента, количества затронутых пользователей и наличия обходного решения. В зависимости от уровня приоритета устанавливаются сроки реакции и решения, закреплённые в соглашении об уровне сервиса (SLA).",,
DOC0008_C03,DOC0008,Обработка обращений клиентов и соблюдение SLA,SUPPORT,internal,В процессе работы над обращением сотрудник обязан регулярно обновлять статус тикета и информировать клиента о ходе решения. При необходимости привлекаются технические специалисты или профильные подразделения. Эскалация выполняется в соответствии с внутренним регламентом.,,
DOC0008_C04,DOC0008,Обработка обращений клиентов и соблюдение SLA,SUPPORT,internal,"После устранения проблемы клиент получает подтверждение с описанием выполненных действий. Если решение требует дополнительных изменений или релиза, информация передаётся в соответствующую команду разработки.",,
DOC0008_C05,DOC0008,Обработка обращений клиентов и соблюдение SLA,SUPPORT,internal,Регулярно проводится анализ обращений для выявления повторяющихся проблем и улучшения качества сервиса. Метрики SLA используются для оценки эффективности работы поддержки и планирования ресурсов.,,
DOC0009_C01,DOC0009,Командировки и компенсация расходов сотрудников,FIN,restricted,"Командировка оформляется через корпоративную систему согласования с указанием цели поездки, предполагаемых дат, места назначения и бюджета. Инициатор обязан обосновать необходимость поездки и ожидаемый бизнес-результат. Заявка считается утверждённой только после согласования руководителя и финансового отдела.",,
DOC0009_C02,DOC0009,Командировки и компенсация расходов сотрудников,FIN,restricted,Бронирование билетов и проживания осуществляется в рамках установленного бюджета и через утверждённых поставщиков. Самостоятельные покупки без согласования допускаются только в исключительных случаях и требуют последующего документального подтверждения.,,
DOC0009_C03,DOC0009,Командировки и компенсация расходов сотрудников,FIN,restricted,"Компенсации подлежат расходы на транспорт, проживание и иные служебные затраты, подтверждённые первичными документами. Все чеки и счета прикладываются к авансовому отчёту в установленный срок после завершения поездки.",,
DOC0009_C04,DOC0009,Командировки и компенсация расходов сотрудников,FIN,restricted,"Расходы, не связанные напрямую с рабочими задачами, не подлежат компенсации. Финансовый отдел вправе запросить дополнительные разъяснения или отклонить компенсацию при отсутствии необходимых документов.",,
DOC0009_C05,DOC0009,Командировки и компенсация расходов сотрудников,FIN,restricted,По итогам командировки сотрудник предоставляет краткий отчёт о достигнутых результатах. Отчёт используется для оценки эффективности поездки и принятия решений о будущих командировках.,,
DOC0010_C01,DOC0010,Управление корпоративными устройствами и мобильная безопасность,IT,internal,"Корпоративные устройства, включая ноутбуки и мобильные телефоны, предоставляются сотрудникам для выполнения служебных задач и остаются собственностью компании. Каждое устройство регистрируется в системе учёта активов с указанием пользователя, серийного номера и даты выдачи. Ответственность за сохранность устройства несёт сотрудник, которому оно выдано.",,
DOC0010_C02,DOC0010,Управление корпоративными устройствами и мобильная безопасность,IT,internal,"Все устройства должны быть подключены к централизованной системе управления (MDM), обеспечивающей шифрование диска, автоматическую установку обновлений и возможность удалённой блокировки. Самостоятельное отключение профилей безопасности или изменение конфигурации запрещено без согласования с IT.",,
DOC0010_C03,DOC0010,Управление корпоративными устройствами и мобильная безопасность,IT,internal,"Подключение личных устройств к корпоративной почте или внутренним системам допускается только при соблюдении требований безопасности, включая установку корпоративного профиля защиты. В случае отказа от установки профиля доступ к рабочим ресурсам может быть ограничен.",,
DOC0010_C04,DOC0010,Управление корпоративными устройствами и мобильная безопасность,IT,internal,При утере или краже устройства сотрудник обязан незамедлительно уведомить IT-службу и своего руководителя. IT инициирует процедуру удалённой блокировки и при необходимости удалённого стирания данных для предотвращения утечки информации.,,
DOC0010_C05,DOC0010,Управление корпоративными устройствами и мобильная безопасность,IT,internal,"Возврат корпоративного устройства осуществляется при увольнении, замене оборудования или по требованию компании. Передача устройства фиксируется актом, а IT выполняет процедуру очистки и повторной подготовки к выдаче другому сотруднику.",,
DOC0011_C01,DOC0011,Внутренние коммуникации и правила деловой переписки,OPS,internal,"Эффективная внутренняя коммуникация является ключевым фактором успешной работы компании. Для рабочих обсуждений используются утверждённые каналы: корпоративная почта, мессенджеры и система управления задачами. Выбор канала зависит от характера вопроса: стратегические решения и формальные уведомления оформляются письменно, оперативные вопросы допускаются в чатах.",,
DOC0011_C02,DOC0011,Внутренние коммуникации и правила деловой переписки,OPS,internal,"При составлении делового письма необходимо чётко обозначить тему, контекст и ожидаемое действие. В письме рекомендуется кратко сформулировать проблему, предложить варианты решения и указать сроки ответа. Избыточные пересылки и добавление большого числа получателей без необходимости не допускаются.",,
DOC0011_C03,DOC0011,Внутренние коммуникации и правила деловой переписки,OPS,internal,"В рабочих чатах следует придерживаться структурированного формата: цель сообщения, описание ситуации, конкретный вопрос или задача. Для обсуждения сложных тем рекомендуется созвон с последующим кратким письменным резюме, зафиксированным в задаче или документе.",,
DOC0011_C04,DOC0011,Внутренние коммуникации и правила деловой переписки,OPS,internal,"Передача конфиденциальной информации через незащищённые каналы запрещена. Пароли, токены доступа и финансовые данные не должны публиковаться в чатах. Для передачи чувствительных данных используются утверждённые средства защиты и шифрования.",,
DOC0011_C05,DOC0011,Внутренние коммуникации и правила деловой переписки,OPS,internal,Соблюдение делового стиля и уважительного тона обязательно независимо от формата общения. Конфликты рекомендуется решать напрямую с участниками коммуникации или при необходимости с привлечением руководителя или HR. Корректная коммуникация снижает риски недопонимания и повышает эффективность совместной работы.,,
DOC0012_C01,DOC0012,Оценка эффективности сотрудников и система KPI,HR,internal,"Система оценки эффективности сотрудников направлена на обеспечение прозрачности результатов работы и согласование индивидуальных целей с целями компании. В начале отчётного периода сотруднику совместно с руководителем устанавливаются измеримые показатели эффективности (KPI), которые отражают ключевые зоны ответственности и ожидаемый вклад в развитие подразделения.",,
DOC0012_C02,DOC0012,Оценка эффективности сотрудников и система KPI,HR,internal,"KPI формируются по принципу конкретности, измеримости и достижимости. Они могут включать количественные показатели (объём продаж, соблюдение сроков, уровень дефектов) и качественные критерии (качество взаимодействия с клиентами, вклад в развитие процессов, соблюдение стандартов компании). Все показатели фиксируются в HR-системе.",,
DOC0012_C03,DOC0012,Оценка эффективности сотрудников и система KPI,HR,internal,"В течение отчётного периода руководитель проводит регулярные встречи с сотрудником для обсуждения прогресса, корректировки приоритетов и выявления возможных рисков невыполнения целей. При изменении бизнес-условий KPI могут быть пересмотрены по взаимному согласованию.",,
DOC0012_C04,DOC0012,Оценка эффективности сотрудников и система KPI,HR,internal,"По завершении периода проводится итоговая оценка, включающая анализ достигнутых результатов и обсуждение зон развития. В случае значительных отклонений от целевых показателей разрабатывается план корректирующих действий или дополнительного обучения.",,
DOC0012_C05,DOC0012,Оценка эффективности сотрудников и система KPI,HR,internal,"Результаты оценки эффективности могут использоваться при принятии решений о премировании, карьерном продвижении и формировании индивидуального плана развития. Прозрачность критериев и регулярная обратная связь являются обязательными элементами процесса.",,
DOC0013_C01,DOC0013,Управление рисками и система внутреннего контроля,OPS,restricted,"Система управления рисками направлена на выявление, оценку и минимизацию факторов, которые могут негативно повлиять на деятельность компании. Риски могут быть операционными, финансовыми, юридическими, технологическими или репутационными. Ответственные лица обязаны регулярно анализировать потенциальные угрозы в рамках своих проектов и подразделений.",,
DOC0013_C02,DOC0013,Управление рисками и система внутреннего контроля,OPS,restricted,Каждый выявленный риск классифицируется по вероятности возникновения и степени влияния на бизнес. Для значимых рисков разрабатываются меры по снижению вероятности наступления или смягчению последствий. Информация о рисках фиксируется в реестре и регулярно пересматривается.,,
DOC0013_C03,DOC0013,Управление рисками и система внутреннего контроля,OPS,restricted,"Внутренний контроль включает проверку соблюдения регламентов, финансовой дисциплины и требований информационной безопасности. Аудит может проводиться планово или по результатам выявленных отклонений. Сотрудники обязаны предоставлять достоверную информацию в рамках проверок.",,
DOC0013_C04,DOC0013,Управление рисками и система внутреннего контроля,OPS,restricted,В случае реализации риска инициируется анализ причин и разрабатывается план корректирующих действий. Руководитель проекта или подразделения несёт ответственность за внедрение мер по предотвращению повторения аналогичных ситуаций.,,
DOC0013_C05,DOC0013,Управление рисками и система внутреннего контроля,OPS,restricted,"Результаты управления рисками используются при стратегическом планировании, бюджетировании и формировании приоритетов развития. Регулярная оценка рисков повышает устойчивость компании и снижает вероятность существенных потерь.",,
DOC0014_C01,DOC0014,Продуктовая разработка и управление требованиями,IT,internal,"Процесс продуктовой разработки начинается с формализации бизнес-требований и определения целевой ценности для пользователя. Инициатор изменения или новой функции обязан описать проблему, предполагаемое решение и ожидаемый результат. Требования фиксируются в системе управления продуктом и проходят предварительную оценку со стороны продуктового менеджера.",,
DOC0014_C02,DOC0014,Продуктовая разработка и управление требованиями,IT,internal,"После первичного анализа требования декомпозируются на функциональные и нефункциональные элементы. Учитываются ограничения по производительности, безопасности, совместимости и масштабируемости. Для крупных изменений формируется техническое задание с описанием архитектурного решения.",,
DOC0014_C03,DOC0014,Продуктовая разработка и управление требованиями,IT,internal,"Перед началом разработки проводится приоритизация задач с учётом стратегических целей компании, ресурсов команды и потенциальной ценности для клиентов. Решение о включении задачи в релизный план принимается на основе согласования между продуктовой и технической командами.",,
DOC0014_C04,DOC0014,Продуктовая разработка и управление требованиями,IT,internal,"В ходе разработки изменения проходят код-ревью, тестирование и проверку соответствия исходным требованиям. Любые отклонения от первоначальной постановки должны быть задокументированы и согласованы с владельцем продукта.",,
DOC0014_C05,DOC0014,Продуктовая разработка и управление требованиями,IT,internal,После релиза проводится анализ использования функции и обратной связи от пользователей. Полученные данные используются для корректировки дальнейшего развития продукта и улучшения внутренних процессов управления требованиями.,,
DOC0015_C01,DOC0015,Управление клиентскими договорами и коммерческими предложениями,SALES,restricted,"Подготовка коммерческого предложения начинается с анализа потребностей клиента и согласования технической возможности реализации проекта. Менеджер по продажам обязан зафиксировать требования клиента, предполагаемый объём работ, сроки и ориентировочную стоимость. До отправки предложения документ проходит внутреннюю проверку на корректность расчётов и соответствие текущей ценовой политике компании.",,
DOC0015_C02,DOC0015,Управление клиентскими договорами и коммерческими предложениями,SALES,restricted,"Коммерческое предложение должно содержать описание решения, условия оплаты, сроки выполнения работ и ограничения ответственности. Все формулировки должны быть согласованы с юридическим отделом в случае отклонения от стандартного шаблона. Недопустимо давать клиенту устные или письменные обещания, не подтверждённые внутренними согласованиями.",,
DOC0015_C03,DOC0015,Управление клиентскими договорами и коммерческими предложениями,SALES,restricted,"После согласования условий с клиентом инициируется процесс подготовки договора. Проект договора загружается в систему согласования с приложением технического задания и расчёта стоимости. Юридический отдел проверяет положения о конфиденциальности, ответственности сторон, порядке оплаты и расторжения.",,
DOC0015_C04,DOC0015,Управление клиентскими договорами и коммерческими предложениями,SALES,restricted,"Подписание договора допускается только уполномоченными лицами в соответствии с внутренними полномочиями. Электронные копии подписанных документов хранятся в централизованном архиве, доступ к которому ограничен в зависимости от роли сотрудника.",,
DOC0015_C05,DOC0015,Управление клиентскими договорами и коммерческими предложениями,SALES,restricted,Все изменения условий действующего договора оформляются дополнительным соглашением и проходят повторную процедуру согласования. Отсутствие документального оформления изменений может привести к финансовым и юридическим рискам для компании.,,
DOC0016_C01,DOC0016,Управление данными и аналитическая отчётность,FIN,internal,"Данные, используемые для управленческих решений, должны быть достоверными, актуальными и полученными из официальных источников. Ответственность за корректность данных несёт владелец системы или подразделение, формирующее отчёт. Перед публикацией аналитического отчёта проводится проверка полноты информации и согласование ключевых показателей.",,
DOC0016_C02,DOC0016,Управление данными и аналитическая отчётность,FIN,internal,"Все отчёты формируются по утверждённым шаблонам, которые обеспечивают единый формат представления информации. В отчёте должны быть указаны период анализа, источник данных, методика расчёта показателей и ограничения интерпретации результатов.",,
DOC0016_C03,DOC0016,Управление данными и аналитическая отчётность,FIN,internal,Доступ к аналитическим системам предоставляется в соответствии с ролью сотрудника и уровнем ответственности. Конфиденциальные финансовые данные и показатели эффективности подразделений доступны только ограниченному кругу лиц.,,
DOC0016_C04,DOC0016,Управление данными и аналитическая отчётность,FIN,internal,При выявлении ошибок в отчётности необходимо незамедлительно уведомить владельца отчёта и инициировать корректировку. Все изменения фиксируются с указанием причины и даты обновления.,,
DOC0016_C05,DOC0016,Управление данными и аналитическая отчётность,FIN,internal,"Регулярный анализ данных используется для стратегического планирования, оценки эффективности проектов и определения направлений развития бизнеса. Системный подход к управлению данными снижает риски принятия ошибочных управленческих решений.",,
DOC0017_C01,DOC0017,Информационная архитектура и база знаний компании,OPS,internal,"Внутренняя база знаний предназначена для централизованного хранения регламентов, инструкций, технической документации и организационной информации. Основная цель системы — обеспечить быстрый доступ сотрудников к актуальным материалам и снизить зависимость от устных объяснений. Структура базы знаний строится по принципу разделения на тематические категории и подкатегории.",,
DOC0017_C02,DOC0017,Информационная архитектура и база знаний компании,OPS,internal,"Каждая статья в базе знаний должна иметь чёткий заголовок, краткое описание назначения документа и указание ответственного владельца. В тексте рекомендуется использовать структурирование: разделы, списки и выделение ключевых терминов. Дата последнего обновления указывается обязательно.",,
DOC0017_C03,DOC0017,Информационная архитектура и база знаний компании,OPS,internal,"Ответственный владелец документа обязан поддерживать его актуальность и обновлять информацию при изменении процессов. Если сотрудник обнаруживает неточность или устаревшие данные, он должен уведомить владельца или оставить комментарий в системе.",,
DOC0017_C04,DOC0017,Информационная архитектура и база знаний компании,OPS,internal,"Права доступа к разделам базы знаний настраиваются в соответствии с ролью сотрудника. Часть материалов может быть доступна только определённым подразделениям, если содержит чувствительную или стратегическую информацию.",,
DOC0017_C05,DOC0017,Информационная архитектура и база знаний компании,OPS,internal,Регулярный аудит структуры базы знаний проводится для выявления дублирующих материалов и устаревших разделов. Оптимизация структуры и корректная категоризация повышают качество поиска и эффективность использования системы.,,
DOC0018_C01,DOC0018,Киберугрозы и противодействие фишингу,IT,restricted,"Фишинг и социальная инженерия остаются одними из наиболее распространённых угроз информационной безопасности. Злоумышленники могут маскироваться под коллег, руководство или партнёров компании с целью получения учётных данных, финансовой информации или доступа к внутренним системам. Каждый сотрудник обязан проявлять осторожность при получении писем или сообщений с запросом конфиденциальных данных.",,
DOC0018_C02,DOC0018,Киберугрозы и противодействие фишингу,IT,restricted,"Признаками фишингового сообщения могут быть необычный адрес отправителя, орфографические ошибки, срочный характер запроса или вложения неизвестного происхождения. Перед переходом по ссылке необходимо проверить доменное имя и убедиться в его подлинности. При малейших сомнениях следует обратиться в IT-службу.",,
DOC0018_C03,DOC0018,Киберугрозы и противодействие фишингу,IT,restricted,"Категорически запрещено передавать пароли, одноразовые коды или ключи доступа по электронной почте или в мессенджерах. Руководство и IT-служба никогда не запрашивают подобную информацию в явном виде. Нарушение этого правила может привести к компрометации корпоративной инфраструктуры.",,
DOC0018_C04,DOC0018,Киберугрозы и противодействие фишингу,IT,restricted,В случае получения подозрительного сообщения сотрудник должен воспользоваться функцией отметки фишинга или переслать письмо в IT-службу для анализа. Быстрая реакция позволяет предотвратить массовые атаки и минимизировать возможный ущерб.,,
DOC0018_C05,DOC0018,Киберугрозы и противодействие фишингу,IT,restricted,Компания регулярно проводит обучающие мероприятия и тестовые фишинговые кампании для повышения уровня осведомлённости сотрудников. Результаты тестирования используются для улучшения программ обучения и укрепления общей культуры информационной безопасности.,,
DOC0019_C01,DOC0019,Стратегическое планирование и годовые цели компании,OPS,restricted,"Стратегическое планирование осуществляется на ежегодной основе и определяет приоритетные направления развития компании. Руководство формирует ключевые цели, исходя из анализа рыночной ситуации, конкурентной среды и внутренних ресурсов. Результатом стратегической сессии является перечень инициатив и показателей, которые должны быть достигнуты в течение отчётного периода.",,
DOC0019_C02,DOC0019,Стратегическое планирование и годовые цели компании,OPS,restricted,"Годовые цели декомпозируются до уровня подразделений и индивидуальных KPI сотрудников. Каждое направление получает конкретные измеримые показатели, сроки выполнения и ответственных лиц. Согласование целей проводится между руководителями подразделений для обеспечения согласованности действий.",,
DOC0019_C03,DOC0019,Стратегическое планирование и годовые цели компании,OPS,restricted,"В течение года проводится регулярный мониторинг выполнения стратегических целей. Отчёты о прогрессе представляются на управленческих встречах, где анализируются достижения, отклонения и корректирующие меры. При существенных изменениях рыночной ситуации цели могут быть пересмотрены.",,
DOC0019_C04,DOC0019,Стратегическое планирование и годовые цели компании,OPS,restricted,"Для оценки достижения целей используются финансовые и операционные показатели, включая выручку, рентабельность, рост клиентской базы и показатели качества сервиса. Анализ результатов позволяет определить эффективность выбранной стратегии.",,
DOC0019_C05,DOC0019,Стратегическое планирование и годовые цели компании,OPS,restricted,Документы стратегического планирования имеют ограниченный доступ и предназначены для руководителей и ключевых сотрудников. Соблюдение конфиденциальности стратегической информации является обязательным требованием для всех участников процесса.,,
DOC0020_C01,DOC0020,Управление качеством услуг и стандарты обслуживания,OPS,internal,"Система управления качеством направлена на обеспечение стабильного уровня предоставляемых услуг и соответствие ожиданиям клиентов. Основой системы являются утверждённые стандарты обслуживания, описывающие требования к срокам реакции, полноте выполнения задач и корректности коммуникации. Все сотрудники, взаимодействующие с клиентами, обязаны соблюдать данные стандарты.",,
DOC0020_C02,DOC0020,Управление качеством услуг и стандарты обслуживания,OPS,internal,"Контроль качества осуществляется через регулярный анализ обращений клиентов, мониторинг показателей SLA и выборочные проверки выполненных задач. Результаты проверок используются для выявления системных проблем и определения зон для улучшения процессов.",,
